Monthly Mean Avg Temperature for FARGO HECTOR INTL AP, ND
Click column heading to sort ascending, click again to sort descending.

https://www.wunderground.com/history/monthly/us/nd/fargo/KFAR/date/2020-7


Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
2017	14.8	24.2	29.5	45.6	57.0	67.8	72.1	66.8	62.0	47.5	28.3	13.8	44.1
2018	11.2	7.4	26.2	34.5	63.6	70.3	70.9	68.7	59.0	40.1	22.4	13	43.1
2019	6.45	1	19.8	43.1	52.45	67.1	72.25	66.5	60.9	41.55	22	13	43
2020	13.22	 13.69	28.64	39.73	55.25	71.75	73.02	69.19	57.9	 39.2	 32.18	25.03	43.23  
2021	19.71	 6.92	 36.48	42.40	57.52	72.71	75.38	71.99	64.45	51.38	33.11	15.07	45.59
2022	 3.87	 6.31	 25.51	35.53	56.05	69.45	72.02	68.45	61.00	46.68	27.18	10.26	40.19
2023	11.2	12.02	17.38	36.95	65.18	74.65	70.81	71.14	65.77	49.22	34.13	31.25	44.97
2024	 17.5	 30.25	31.17	47.89	59.67	68.35	74.03	67.35	68.09	52.05	33.28	19.62	47.34
2025	  9.94	8.95	 32.07	43.45	60.26	65.92	70.92	68.85	63.78	51.61	33.3	 13.24	43.52
	  
